"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023174","1944-08","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","","","38.2","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","29","1,0","0","1,0","","","","","","","12.8",",0,25,+","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,19,+","28.9","1,0,13,","2.7","","3.7","1,0","0.0",",T,,0","0",",,,0","19.49","1,0","23.72","1,,,0","15.27",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1944-09","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","","","27.2","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","20","1,0","1","1,0","5","","","","","","10.6",",0,22,","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,17,+","33.3","1,0,23,","11.2","","8.5","1,0","0.0",",T,,0","0",",,,0","18.98","1,0","22.69","1,,,0","15.27",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1944-10","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","","","0.0","2,0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","6","2,0","0","2,0","3","","","","","","10.0",",0,12,","0",",,0,31,+","0",",,0,31,+","1.5",",,0,31,","22.2","2,0,02,","61.6","","50.4","2,0","1.5",",,,0","0",",,,0","16.61","2,0","19.87","2,,,0","13.34",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1944-11","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","","","0.0",",0","10",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","2","","","","","","5.6",",0,22,","0",",,0,30,+","0",",,0,30,+","27.2",",,0,11,","24.4",",0,22,","189.2","","127.6",",0","95.8",",,,0","0",",,,0","14.08",",0","18.90",",,,0","9.26",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1944-12","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","","","0.0",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","11",",0","0",",0","4","","","","","","3.3",",0,31,","0",",,0,31,+","0",",,0,31,+","4.8",",,0,02,","25.0",",0,12,+","338.2","","149.0",",0","13.7",",,,0","0",",,,0","13.53",",0","19.53",",,,0","7.52",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1945-01","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","0.0","0","0.0",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","4","","","","","","2.2",",0,30,","0",",,0,31,+","0",",,0,31,+","3.8",",,0,31,","23.3",",0,02,","535.8","0","197.6",",0","3.8",",,,0","0",",,,0","11.96",",0","17.45",",,,0","6.47",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1945-02","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","0.8","0","0.8",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","4","","","","","","3.3",",0,20,","0",",,0,28,+","0",",,0,28,+","23.1",",,0,01,","25.0",",0,10,+","695.0","0","159.2",",0","69.7",",,,0","0",",,,0","12.68",",0","17.31",",,,0","8.04",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1945-03","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","3.0","0","2.2","2,0","12",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","2","2,0","0","2,0","2","","","","1","","1.7",",0,05,","0",",,0,31,+","0",",,0,31,+","14.0",",,0,17,","29.4","2,0,30,","890.2","0","195.2","2,0","81.5",",,,0","0",",,,0","11.65","2,0","16.69","2,,,0","6.62",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1945-04","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","3.0","0","0.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","2","","","","","","5.6",",0,11,+","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,26,+","23.9",",0,14,+","1024.3","0","134.1",",0","0.0",",T,,0","0",",,,0","13.86",",0","18.59",",,,0","9.14",",,,0","","","","","","","","","","","","","","","","","",""
"USW00023174","1945-05","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","","","4.4","0","1.4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","1","","","","","","8.9",",0,21,+","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,29,+","26.1",",0,16,","1112.7","0","88.4",",0","0.0",",T,,0","0",",,,0","15.53",",0","19.82",",,,0","11.23",",,,0","","","","","","","","","","","","","","","","","",""
