"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00094789","1948-07","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094789","1948-08","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","","","164.9",",X","8",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","6",",X","15","","","","3","","15.0",",X,07,","0",",,X,31,+","0",",,X,31,+","48.3",",,X,03,","38.3",",X,27,","","","0.0",",X","82.9",",,,X","0",",,,X","23.65",",X","27.81",",,,X","19.49",",,,X","","","","","","","","","","","","","","","",""
"USW00094789","1948-09","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","","","69.8",",X","4",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","29",",X","0",",X","12","","","","1","","9.4",",X,27,","0",",,X,30,+","0",",,X,30,+","24.1",",,X,10,","30.0",",X,18,","","","15.5",",X","39.3",",,,X","0",",,,X","20.14",",X","24.97",",,,X","15.31",",,,X","","","","","","","","","","","","","","","",""
"USW00094789","1948-10","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","","","5.6",",X","10",",X","7",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","5",",X","0",",X","5","","","","","","0.6",",X,19,","0",",,X,31,+","0",",,X,31,+","15.5",",,X,08,","26.1",",X,02,","","","163.0",",X","48.8",",,,X","0",",,,X","13.26",",X","17.67",",,,X","8.84",",,,X","","","","","","","","","","","","","","","",""
"USW00094789","1948-11","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","","","0.0",",X","13",",X","8",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","0",",X","0",",X","13","","","","","","-0.6",",X,30,","0",",,X,30,+","0",",T,X,29,","25.1",",,X,10,","20.6",",X,20,","","","238.4",",X","96.9",",,,X","0",",T,,X","10.39",",X","14.17",",,,X","6.60",",,,X","","","","","","","","","","","","","","","",""
"USW00094789","1948-12","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","","","0.0",",X","12",",X","8",",X","2",",X","12",",X","3",",X","0",",X","17",",X","6",",X","0",",X","0",",X","12","","","","","","-13.3",",X,27,","457",",,X,19,","457",",,X,19,","48.8",",,X,31,","14.4",",X,13,","","","484.6",",X","153.7",",,,X","569",",,,X","2.70",",X","6.55",",,,X","-1.15",",,,X","","","","","","","","","","","","","","","",""
"USW00094789","1949-01","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","0","0.0",",0","13",",0","12",",0","1",",0","3",",0","2",",0","0",",0","17",",0","1",",0","0",",0","0",",0","12","","","","1","","-7.2",",0,30,","76",",,0,01,","76",",,0,31,","30.0",",,0,21,","14.4",",0,19,+","","","462.4",",0","146.5",",,,0","132",",,,0","3.42",",0","7.13",",,,0","-0.30",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1949-02","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","0","0.0",",0","11",",0","8",",0","2",",0","2",",0","2",",0","0",",0","16",",0","1",",0","0",",0","0",",0","10","","","","","","-8.9",",0,12,","203",",,0,28,","257",",,0,28,","34.3",",,0,28,","16.7",",0,15,","","","419.2",",0","110.0",",,,0","315",",,,0","3.36",",0","7.41",",,,0","-0.69",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1949-03","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.0","0","0.0",",0","8",",0","4",",0","0",",0","7",",0","2",",0","0",",0","16",",0","1",",0","1",",0","0",",0","8","","","","","","-9.4",",0,20,","127",",,0,01,","74",",,0,18,","15.0",",,0,23,","22.2",",0,30,","","","418.9",",0","39.8",",,,0","115",",,,0","4.82",",0","9.25",",,,0","0.39",",,,0","","","","","","","","","","","","","","","",""
"USW00094789","1949-04","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","","","0.6","0","0.6",",0","11",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","8","","","","2","","2.2",",0,02,","0",",,0,30,+","0",",,0,30,+","27.4",",,0,06,","25.6",",0,14,","","","216.2",",0","85.1",",,,0","0",",,,0","11.15",",0","15.71",",,,0","6.58",",,,0","","","","","","","","","","","","","","","",""
